"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,,,,,,
"World Fertility Data 2012
AGE-SPECIFIC FERTILITY RATES, TOTAL FERTILITY AND MEAN AGE AT CHILDBEARING
Guadeloupe,312,Around 1995,1995,,2.06,17,92,120,107,59,9,,29.1,Registration,National statistics,,,Data shown for women aged 40 to 44 pertain to women aged 40 or over.,,,
Guadeloupe,312,Around 2005,2003,,2.16,25,81,133,109,65,19,0,29.4,Registration,UNSD,,,,,,
Guadeloupe,312,Latest,2004,,2.30,20,76,148,122,69,23,1,29.9,Registration,National statistics,,,,,,
Guam,316,Around 1970,1970,,4.75,95,280,266,161,103,41,2,27.7,Registration,UNSD,,,,,,
Guam,316,Around 1985,1985,,3.05,80,198,154,105,60,14,0,26.8,Registration,UNSD,,,,,,
Guam,316,Around 1995,1992,,3.66,110,217,201,124,61,17,1,26.6,Registration,UNSD,,,,,,
Guam,316,Around 2005,2003,,2.70,53,148,144,115,63,15,1,27.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guam,316,Latest,2004,,2.80,52,146,159,119,63,17,2,28.0,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guatemala,320,Around 1970,1970,,5.75,133,279,261,217,172,70,17,28.8,Registration,UNSD,,,,,,
Guatemala,320,Around 1985,1985,,5.88,123,274,271,226,183,82,19,29.2,Registration,UNSD,,,,,,
Guatemala,320,Around 1995,1995,,4.81,115,232,214,179,143,66,13,28.8,Registration,UNSD,,,,,,
Guatemala,320,Around 2005,2004,,3.97,100,194,181,146,109,54,11,28.6,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guatemala,320,Latest,2006,,3.58,92,174,167,131,96,46,10,28.5,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guinea,324,Around 1985,1983,1982-1983,5.84,161,267,269,211,149,72,39,28.8,Census,National statistics,,,,,,
Guinea,324,Around 1995,1996,1995-1996,5.96,158,283,280,216,150,71,34,28.6,Census,National statistics,,,,,,
Guinea,324,..,1997,1996-1999,5.52,168,238,246,214,144,69,26,28.6,Survey,DHS,Guinea 1999 Demographic and Health Survey,,,,,
Guinea,324,Around 2005,2003,2002-2005,5.70,154,240,247,226,169,85,20,29.0,Survey,DHS,Guinea 2005 Demographic and Health Survey,,,,,
Guinea,324,Latest,2010,2009-2012,5.10,146,207,224,198,139,73,32,29.1,Survey,DHS,Guinea 2012 Demographic and Health Survey,,,Preliminary data.,,
Guinea-Bissau,624,..,1979,,6.37,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Guinea-Bissau,624,Around 1995,1991,,6.80,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Guinea-Bissau,624,Latest,2000,,7.36,170,302,328,288,210,144,30,29.6,Survey,MICS,Guinea-Bissau 2000 Multiple Indicator Cluster Survey,,,,,
Guyana,328,Around 1970,1972,1970-1975,4.88,114,283,242,184,112,42,..,27.6,Survey,WFS,Guyana 1975 World Fertility Survey,,,,,
Guyana,328,Around 1985,1986,,2.63,67,155,131,105,49,14,5,27.3,Survey,National statistics,Guyana 1986 Retrospective Demographic Survey,,,,,
Guyana,328,Around 1995,1991,,2.36,58,133,121,82,52,18,8,27.8,Census,National statistics,,,,,,
Guyana,328,Around 2005,2002,,3.71,84,197,179,134,90,39,20,28.5,Census,National statistics,,,,,,
Guyana,328,Latest,2007,2006-2009,2.77,101,163,116,102,55,13,4,26.6,Survey,DHS,Guyana 2009 Demographic and Health Survey,,,,,
Haiti,332,Around 1970,1971,,5.70,37,198,272,258,201,116,59,31.8,Census,National statistics,,,,,,
Haiti,332,Around 1985,1986,1985-1987,6.40,88,270,308,281,197,115,20,30.1,Survey,National statistics,"Haiti 1987 Enquête Mortalité, Morbidité et Utilisation des Services",,,,,
Haiti,332,Around 1995,1993,1991-1994,4.78,76,179,233,206,166,78,19,30.2,Survey,DHS,Haiti 1994-1995 Demographic and Health Survey,,,,,
Haiti,332,Around 2005,2003,2002-2003,3.53,38,136,163,156,123,63,27,30.9,Census,National statistics,,,,,,
Haiti,332,Latest,2004,2002-2005,3.92,68,161,169,175,132,65,13,30.0,Survey,DHS,Haiti 2005-2006 Demographic and Health Survey,,,,,
Honduras,340,Around 1970,1972,1971-1972,7.50,171,316,339,307,221,127,18,29.3,Survey,CPS,Honduras 1971-1972 Encuesta Demográfica Nacional,,,,,
Honduras,340,Around 1985,1984,1983-1984,5.33,116,249,268,201,155,77,..,28.7,Survey,National statistics,Honduras 1984 Encuesta Nacional de Salud Materno Infantil,,,,,
Honduras,340,Around 1995,1994,1993-1995,4.95,136,243,210,169,142,78,12,28.6,Survey,RHS,Honduras 1996 Encuesta Nacional de Epidemiología y Salud Familiar,,,,,
Honduras,340,..,1999,1998-2001,4.44,137,229,202,161,94,56,9,27.8,Survey,RHS,Honduras 2001 Encuesta Nacional de Epidemiología y Salud Familiar,,,,,
Honduras,340,Latest,2004,2002-2005,3.26,102,169,150,122,73,32,5,27.6,Survey,DHS,Honduras 2005-2006 Demographic and Health Survey,,,,,
Hungary,348,Around 1970,1970,,1.98,50,163,110,52,18,4,0,25.5,Registration,UNSD,,,,,,
Hungary,348,Around 1985,1985,,1.83,52,152,103,43,14,3,0,25.1,Registration,UNSD,,,,,,
Hungary,348,Around 1995,1995,,1.57,31,104,109,50,17,3,0,26.3,Registration,UNSD,,,,,,
Hungary,348,Around 2005,2005,,1.22,18,47,82,67,25,4,0,28.5,Registration,UNSD,,,,,,
Hungary,348,Latest,2010,,1.25,18,40,74,77,35,7,0,29.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Iceland,352,Around 1970,1970,,2.79,73,165,139,101,58,21,1,27.3,Registration,UNSD,,,,,,
Iceland,352,Around 1985,1985,,1.95,35,112,117,81,37,6,0,27.4,Registration,UNSD,,,,,,
Iceland,352,Around 1995,1995,,2.08,23,94,129,111,51,9,1,28.7,Registration,UNSD,,,,,,
Iceland,352,Around 2005,2005,,2.04,14,82,130,114,58,11,1,29.4,Registration,UNSD,,,,,,
Iceland,352,Latest,2010,,2.19,13,72,138,128,74,14,0,30.0,Registration,UNSD,,,,,,
India,356,Around 1970,1972,1971-1972,5.35,89,260,261,215,141,74,29,29.4,Sample registration system,National statistics,,,,,,
India,356,Around 1985,1985,,4.27,89,258,219,150,81,40,17,27.9,Sample registration system,National statistics,,,,,,
India,356,Around 1995,1997,,3.33,54,226,188,109,55,26,8,27.5,Sample registration system,National statistics,,,,,,
India,356,Around 2005,2005,,2.88,46,223,160,88,35,17,6,26.8,Sample registration system,National statistics,,,,,,
India,356,Latest,2010,,2.51,37,199,157,66,30,9,4,26.5,Sample registration system,National statistics,,,,,,
Indonesia,360,Around 1970,1973,1971-1975,4.78,127,250,226,170,116,52,16,28.1,Survey,WFS,Indonesia 1976 World Fertility Survey,,,,,
Indonesia,360,Around 1985,1986,1984-1987,3.08,59,166,164,122,68,27,10,28.3,Survey,CPS,Indonesia 1987 National Contraceptive Prevalence Survey,,,,,
Indonesia,360,Around 1995,1996,1994-1997,2.79,62,143,149,108,66,24,6,28.1,Survey,DHS,Indonesia 1997 Demographic and Health Survey,,,,,
Indonesia,360,Around 2005,2001,2000-2003,2.56,51,131,143,99,66,19,4,28.2,Survey,DHS,Indonesia 2002-2003 Demographic and Health Survey,,,,,
Indonesia,360,Latest,2006,2004-2007,2.59,51,135,134,108,65,19,6,28.3,Survey,DHS,Indonesia 2007 Demographic and Health Survey,,,,,
Iran (Islamic Republic of),364,Around 1970,1974,1973-1975,6.49,152,316,301,242,169,85,32,28.8,Survey,National statistics,Iran (Islamic Republic of) 1973-1976 Population Growth Survey,,,,,
Iran (Islamic Republic of),364,Around 1985,1986,1985-1986,6.96,149,303,313,274,211,112,29,29.5,Census,National statistics,,,,,,
Iran (Islamic Republic of),364,Around 1995,1996,,2.96,54,135,132,104,89,56,21,30.0,Census,National statistics,,,,,,
Iran (Islamic Republic of),364,Around 2005,2000,,2.17,35,110,131,90,48,16,4,28.3,Survey,National statistics,Iran (Islamic Republic of) 2000 Demographic and Health Survey,,,Estimates based on the own-children method.,,
Iran (Islamic Republic of),364,Latest,2006,,1.89,31,93,109,85,43,13,4,28.4,Census,National statistics,,,,Estimates based on the own-children method.,,
Iraq,368,Around 1970,1974,,7.13,90,260,335,296,243,142,60,31.0,Survey,National statistics,Iraq 1974 Fertility Survey,,,,,
Iraq,368,Around 1985,1989,1988-1989,5.21,87,211,240,215,173,86,31,30.2,Survey,GCHS,Iraq 1989 National Child Health Survey,,,,,
Iraq,368,Around 1995,1996,1994-1998,4.64,59,182,224,212,148,81,23,30.4,Survey,National statistics,Iraq 2004 Living Conditions Survey,,,Data pertain to the period of 5 to 9 years before the survey.,,
Iraq,368,Around 2005,2001,1999-2003,4.02,50,158,204,189,134,58,12,30.1,Survey,National statistics,Iraq 2004 Living Conditions Survey,,,,,
Iraq,368,Latest,2005,2003-2006,4.32,68,187,221,188,136,56,9,29.5,Survey,MICS,Iraq 2006 Multiple Indicator Cluster Survey,,,,,
Ireland,372,Around 1970,1970,,3.85,17,146,226,201,132,45,4,30.3,Registration,UNSD,,,,,,
Ireland,372,Around 1985,1985,,2.49,17,87,160,136,74,21,2,29.9,Registration,UNSD,,,,,,
Ireland,372,Around 1995,1995,,1.88,15,52,107,128,61,13,0,30.3,Registration,UNSD,,,,,,
Ireland,372,Around 2005,2005,,1.88,17,46,79,130,87,17,1,31.2,Registration,National statistics,,,,,,
Ireland,372,Latest,2010,,2.13,15,54,99,139,97,21,1,31.2,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Israel,376,Around 1970,1970,,3.91,50,210,232,177,90,21,3,28.3,Registration,UNSD,,Including data for East Jerusalem and Israeli residents in certain other territories under occupation by Israeli military forces since June 1967.,,,,
Israel,376,Around 1985,1985,,3.12,25,163,201,144,72,17,1,28.5,Registration,UNSD,,Including data for East Jerusalem and Israeli residents in certain other territories under occupation by Israeli military forces since June 1967.,,,,
Israel,376,Around 1995,1995,,2.89,18,122,192,150,78,18,1,29.3,Registration,UNSD,,Including data for East Jerusalem and Israeli residents in certain other territories under occupation by Israeli military forces since June 1967.,,,,
Israel,376,Around 2005,2005,,2.83,15,107,170,160,91,23,2,30.0,Registration,UNSD,,Including data for East Jerusalem and Israeli residents in certain other territories under occupation by Israeli military forces since June 1967.,,,,
Israel,376,Latest,2010,,3.03,13,109,174,176,104,27,2,30.3,Registration,UNSD,,Including data for East Jerusalem and Israeli residents in certain other territories under occupation by Israeli military forces since June 1967.,,,,
Italy,380,Around 1970,1970,,2.41,32,126,153,100,53,16,1,28.2,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Italy,380,Around 1985,1985,,1.41,12,73,102,66,25,5,0,28.1,Registration,National statistics,,,,,,
Italy,380,Around 1995,1995,,1.19,7,36,81,76,32,6,0,29.8,Registration,UNSD,,,,,,
Italy,380,Around 2005,2005,,1.30,7,33,72,88,50,10,0,30.8,Registration,UNSD,,Data pertain to resident population only.,,,,
Italy,380,Latest,2010,,1.43,6,34,75,95,61,14,1,31.3,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Jamaica,388,Around 1970,1970,,5.54,167,302,268,190,127,47,8,27.4,Census,National statistics,,,,,,
Jamaica,388,Around 1985,1984,,2.95,108,160,139,99,58,23,3,26.8,Registration,UNSD,,,,,,
Jamaica,388,Around 1995,1995,,2.67,94,141,126,97,58,18,1,26.9,Registration,UNSD,,,,,,
Jamaica,388,Around 2005,2004,,1.93,63,103,86,70,45,16,1,27.3,Registration,UNSD,,,,,,
Jamaica,388,Latest,2006,,1.95,63,104,90,73,43,16,1,27.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Japan,392,Around 1970,1970,,2.10,4,97,209,86,20,3,0,27.8,Registration,National statistics,,,,,,
Japan,392,Around 1985,1985,,1.73,4,61,176,85,18,2,0,28.3,Registration,UNSD,,,,,,
Japan,392,Around 1995,1995,,1.39,4,40,113,93,26,3,0,29.4,Registration,UNSD,,,,,,
Japan,392,Around 2005,2005,,1.22,5,34,81,83,35,5,0,30.0,Registration,UNSD,,,,,,
Japan,392,Latest,2010,,1.35,5,34,85,94,46,8,0,30.6,Registration,UNSD,,Data refer to Japanese nationals in Japan only.,,,,
Jordan,400,Around 1970,1974,1971-1976,7.63,124,343,365,332,240,103,19,29.5,Survey,WFS,Jordan 1976 World Fertility Survey,,,,,
Jordan,400,Around 1985,1989,1987-1990,5.57,49,219,296,264,188,79,19,30.4,Survey,DHS,Jordan 1990 Demographic and Health Survey,,,,,
Jordan,400,Around 1995,1996,1994-1997,4.35,43,172,246,206,144,48,11,29.9,Survey,DHS,Jordan 1997 Demographic and Health Survey,,,,,
Jordan,400,Around 2005,2006,2004-2007,3.59,28,148,212,162,121,41,6,29.9,Survey,DHS,Jordan 2007 Demographic and Health Survey,,,,,
Jordan,400,Latest,2008,2006-2009,3.85,32,152,238,182,126,37,3,29.7,Survey,DHS,Jordan 2009 Demographic and Health Survey (Interim),,,,,
Kazakhstan,398,Around 1970,1970,1969-1970,3.30,30,192,178,135,83,34,9,28.9,Registration,Eurostat,,,,,,
Kazakhstan,398,Around 1985,1987,,2.98,41,210,169,104,53,18,1,27.3,Registration,UNSD,,,,,,
Kazakhstan,398,Around 1995,1995,,2.10,48,161,119,59,27,6,1,26.0,Registration,UNSD,,,,,,
Kazakhstan,398,Around 2005,2005,,2.21,27,139,133,87,46,10,1,27.7,Registration,National statistics,,,,,,
Kazakhstan,398,Latest,2008,,2.69,31,158,161,112,61,15,1,28.1,Registration,UNSD,,,,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",,
Kenya,404,..,1976,1975-1978,8.02,168,342,357,293,239,145,59,29.9,Survey,WFS,Kenya 1977-1978 World Fertility Survey,,,,,
Kenya,404,Around 1985,1987,1986-1989,6.66,153,324,301,243,184,99,29,29.0,Survey,DHS,Kenya 1989 Demographic and Health Survey,,,,,
Kenya,404,Around 1995,1996,1995-1998,4.70,111,248,218,188,109,51,16,28.3,Survey,DHS,Kenya 1998 Demographic and Health Survey,,,,,
Kenya,404,Around 2005,2001,2000-2003,4.88,114,243,231,196,123,55,15,28.5,Survey,DHS,Kenya 2003 Demographic and Health Survey,,,,,
Kenya,404,Latest,2007,2005-2008,4.56,103,238,216,175,118,50,12,28.4,Survey,DHS,Kenya 2008-2009 Demographic and Health Survey,,,,,
Kiribati,296,Around 1970,1973,,4.34,66,227,220,172,123,51,8,28.9,Census,National statistics,,,,,,
Kiribati,296,Around 1985,1985,,4.77,63,219,242,207,149,60,14,29.6,Census,National statistics,,,,,,
Kiribati,296,Around 1995,1995,1994-1995,4.53,61,190,220,205,150,60,20,30.0,Census,National statistics,,,,,,
Kiribati,296,Around 2005,2000,,3.89,42,170,205,175,130,49,7,29.8,Census,National statistics,,,,Adjusted estimate.,,
Kiribati,296,Latest,2005,,3.46,39,159,175,162,106,44,6,29.6,Census,National statistics,,,,Adjusted estimate.,,
Kuwait,414,Around 1970,1970,,6.78,132,318,342,279,211,57,15,28.8,Registration,UNSD,,,,,,
Kuwait,414,Around 1985,1985,,4.31,51,198,234,186,142,52,0,29.4,Registration,UNSD,,,,,,
Kuwait,414,Around 1995,1995,,3.13,34,160,164,127,91,41,9,29.4,Registration,UNSD,,,,,,
Kuwait,414,Around 2005,2005,,2.76,17,130,150,136,84,31,4,29.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Kuwait,414,Latest,2010,,2.64,13,112,159,128,82,27,6,30.0,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Kyrgyzstan,417,Around 1970,1970,1969-1970,4.86,41,261,225,199,155,70,20,29.8,Registration,Eurostat,,,,,,
Kyrgyzstan,417,Around 1985,1985,,3.95,41,250,227,148,86,31,8,28.2,Registration,UNSD,,,,,,
Kyrgyzstan,417,Around 1995,1996,1994-1997,3.36,75,246,179,113,47,13,..,26.4,Survey,DHS,Kyrgyzstan 1997 Demographic and Health Survey,,,,,
Kyrgyzstan,417,Around 2005,2006,,2.74,28,174,159,105,60,18,3,28.0,Registration,UNSD,,,,,,
Kyrgyzstan,417,Latest,2010,,3.13,34,176,183,136,71,22,3,28.4,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Lao People's Democratic Republic,418,Around 1985,1988,1987-1988,6.80,..,..,..,..,..,..,..,..,Survey,National statistics,Lao People's Democratic Republic 1986-1988 Multi-round Survey,,,,,
Lao People's Democratic Republic,418,..,1992,1990-1994,6.38,115,297,288,246,190,108,31,29.6,Survey,National statistics,Lao People's Democratic Republic 1994-1995 Fertility and Birth Spacing Survey,,,,,
Lao People's Democratic Republic,418,Around 1995,1997,1995-1999,4.88,102,228,224,172,127,70,53,29.6,Survey,National statistics,Lao People's Democratic Republic 2000 Reproductive Health Survey,,,,,
Lao People's Democratic Republic,418,Around 2005,2004,2002-2005,4.08,76,228,206,135,97,51,22,28.7,Survey,National statistics,Lao People's Democratic Republic 2005 Reproductive Health Survey,,,,,
Lao People's Democratic Republic,418,Latest,2005,,4.55,110,220,240,190,110,40,0,28.0,Census,National statistics,,,,,,
Latvia,428,Around 1970,1970,,2.02,28,147,118,70,32,8,0,27.0,Registration,Eurostat,,,,Adjusted estimate.,,
Latvia,428,Around 1985,1986,,2.20,45,173,124,64,29,6,0,26.1,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Latvia,428,Around 1995,1995,,1.25,30,98,71,33,15,3,0,25.8,Registration,UNSD,,,,,,
Latvia,428,Around 2005,2005,,1.31,16,67,84,61,28,6,0,28.2,Registration,UNSD,,,,,,
Latvia,428,Latest,2010,,1.17,17,49,74,57,28,7,0,28.6,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Lebanon,422,Around 1970,1970,,4.57,40,184,259,214,134,65,18,30.2,Survey,National statistics,Lebanon 1971 National Fertility and Family Planning Survey,,,,,
Lebanon,422,Around 1985,1988,1986-1990,3.08,47,150,175,126,86,25,8,28.8,Survey,PAPCHILD,Lebanon 1996 Maternal and Child Health Survey,,,Data pertain to the period of 5 to 9 years before the survey.,,
Lebanon,422,..,1993,1991-1995,2.53,30,123,147,112,67,22,5,29.0,Survey,PAPCHILD,Lebanon 1996 Maternal and Child Health Survey,,,,,
Lebanon,422,Around 1995,1995,1995-1996,2.91,26,122,171,149,84,26,5,29.6,Survey,National statistics,Lebanon 1994-1996 Population and Housing Survey,,,,,
Lebanon,422,Latest,2001,1999-2003,1.89,18,77,120,97,47,13,5,29.3,Survey,PAPFAM,Lebanon 2004 Family Health Survey,,,,,
Lesotho,426,Around 1970,1971,,5.62,61,248,271,247,173,87,37,30.3,Survey,National statistics,Lesotho 1971-1973 Demographic Survey,,,,,
Lesotho,426,Around 1985,1986,,5.49,70,246,256,223,178,95,30,30.2,Census,National statistics,,,,,,
Lesotho,426,Around 1995,1991,,4.77,54,186,214,212,149,100,38,31.0,Survey,National statistics,Lesotho 1991-1992 Demographic and Health Survey (national),,,,,
Lesotho,426,Around 2005,2003,2001-2004,3.54,92,177,160,122,102,46,9,28.5,Survey,DHS,Lesotho 2004 Demographic and Health Survey,,,,,
Lesotho,426,Latest,2008,2006-2009,3.30,96,171,155,117,74,40,7,27.9,Survey,DHS,Lesotho 2009 Demographic and Health Survey,,,,,
Liberia,430,Around 1970,1970,,6.50,..,..,..,..,..,..,..,..,Survey,National statistics,Liberia 1970-1971 Population Growth Survey,,,,,
Liberia,430,Around 1985,1984,1983-1986,6.66,188,287,282,229,177,107,61,29.3,Survey,DHS,Liberia 1986 Demographic and Health Survey,,,,,
Liberia,430,Around 1995,1999,1997-2000,6.16,135,279,241,211,171,112,83,30.2,Survey,National statistics,Liberia 1999-2000 Demographic and Health Survey (national),,,,,
Liberia,430,Around 2005,2005,2004-2007,5.20,141,243,226,187,142,72,29,28.8,Survey,DHS,Liberia 2007 Demographic and Health Survey,,,,,
Liberia,430,Latest,2007,2006-2009,5.88,177,268,241,214,166,81,29,28.7,Survey,DHS,Liberia 2009 Malaria Indicators Surveys (MIS),,,,,
Libya,434,Around 1970,1972,,7.24,114,308,350,286,245,110,35,30.0,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Libya,434,Around 1985,1981,,6.32,67,255,290,277,224,108,43,30.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Libya,434,Around 1995,1994,1992-1995,3.87,6,68,168,223,190,100,19,33.3,Survey,PAPCHILD,Libya 1995 Maternal and Child Health Survey,,,,,
Libya,434,Around 2005,2002,,2.51,4,48,124,156,113,52,5,32.5,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Libya,434,Latest,2005,2002-2007,2.66,5,50,122,153,132,58,11,32.9,Survey,PAPFAM,Libya 2007 Family Health Survey,,,,,
Liechtenstein,438,Around 1970,1968,,2.79,4,104,204,135,73,35,3,30.1,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Liechtenstein,438,Around 1985,1986,,1.44,6,49,111,83,31,7,3,29.5,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Liechtenstein,438,Around 1995,1995,,1.56,9,45,88,116,47,5,2,30.2,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Liechtenstein,438,Around 2005,2005,,1.50,7,33,77,115,57,11,..,31.1,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Liechtenstein,438,Latest,2010,,1.41,1,33,78,108,53,9,1,31.2,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Lithuania,440,Around 1970,1970,,2.39,24,158,142,88,48,15,1,27.8,Registration,Eurostat,,,,,,
Lithuania,440,Around 1985,1985,,2.10,22,158,136,66,28,8,0,26.9,Registration,UNSD,,,,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Lithuania,440,Around 1995,1995,,1.49,40,115,85,39,16,3,0,25.6,Registration,UNSD,,,,,,
Lithuania,440,Around 2005,2005,,1.27,19,67,90,53,21,4,0,27.6,Registration,UNSD,,,,,,
Lithuania,440,Latest,2010,,1.55,14,56,114,87,33,6,0,28.9,Registration,UNSD,,,,,,
Luxembourg,442,Around 1970,1970,,1.98,28,131,126,65,33,9,0,27.2,Registration,UNSD,,,,,,
Luxembourg,442,Around 1985,1985,,1.40,11,73,106,67,20,3,0,27.9,Registration,UNSD,,,,,,
Luxembourg,442,Around 1995,1995,,1.70,11,67,127,97,35,5,0,28.9,Registration,UNSD,,,,,,
Luxembourg,442,Around 2005,2005,,1.63,12,54,102,102,47,9,0,29.7,Registration,UNSD,,,,,,
Luxembourg,442,Latest,2010,,1.62,8,42,90,115,56,13,1,30.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Madagascar,450,Around 1970,1966,,6.62,141,300,287,284,183,97,32,29.3,Survey,National statistics,Madagascar 1966 Enquête démographique,,,,,
Madagascar,450,Around 1985,1980,,6.63,126,282,288,252,209,102,67,30.2,Survey,National statistics,Madagascar 1980 Enquete Budgets Menages,,,,,
Madagascar,450,Around 1995,1996,1994-1997,5.96,180,279,254,215,152,88,25,28.5,Survey,DHS,Madagascar 1997 Demographic and Health Survey,,,,,
Madagascar,450,Around 2005,2002,2000-2003,5.18,150,245,235,189,130,69,17,28.4,Survey,DHS,Madagascar 2003-2004 Demographic and Health Survey,,,,,
Madagascar,450,Latest,2007,2006-2009,4.82,148,234,207,169,131,63,13,28.2,Survey,DHS,Madagascar 2008-2009 Demographic and Health Survey,,,,,
Malawi,454,Around 1970,1970,,6.65,132,259,296,234,216,109,86,30.6,Survey,National statistics,Malawi 1970-1972 Population Change Survey,,,,,
Malawi,454,Around 1985,1982,1980-1984,7.58,202,319,309,273,201,129,83,29.7,Survey,National statistics,Malawi 1984 Family Formation Survey,,,,,
Malawi,454,Around 1995,1999,1997-2000,6.35,172,305,272,219,167,94,41,28.9,Survey,DHS,Malawi 2000 Demographic and Health Survey,,,,,
Malawi,454,Around 2005,2003,2001-2004,6.04,162,293,254,222,163,80,35,28.8,Survey,DHS,Malawi 2004 Demographic and Health Survey,,,,,
Malawi,454,Latest,2009,2007-2010,5.71,152,269,238,206,162,82,33,29.0,Survey,DHS,Malawi 2010 Demographic and Health Survey,,,,,
Malaysia,458,Around 1970,1970,,4.67,54,233,236,216,126,54,15,29.4,Registration,UNSD,,,,,,
Malaysia,458,Around 1985,1986,,3.73,24,147,229,184,115,43,5,30.0,Registration,National statistics,,,,,,
Malaysia,458,Around 1995,1995,,3.33,17,125,213,171,100,35,4,30.0,Registration,National statistics,,,,,,
Malaysia,458,Around 2005,2003,,2.45,13,77,153,139,81,25,3,30.4,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Malaysia,458,Latest,2004,,2.41,13,75,149,136,81,25,3,30.4,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Maldives,462,Around 1970,1967,,6.14,131,294,276,235,182,95,15,29.1,Census,National statistics,,,,,,
Maldives,462,Around 1985,1989,1989-1990,6.42,106,286,303,270,199,96,23,29.6,Census,National statistics,,,,,,
Maldives,462,Around 1995,1996,,3.67,55,196,190,136,109,41,6,28.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Maldives,462,Around 2005,2006,,2.16,15,118,130,97,55,16,1,28.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Maldives,462,Latest,2010,,2.26,16,127,133,100,58,17,2,28.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mali,466,..,1960,,6.62,195,311,290,242,171,78,37,28.5,Survey,National statistics,Mali 1960-1961 Enquête démographique,,,,,
Mali,466,Around 1985,1985,1984-1987,7.10,206,302,299,268,205,108,32,29.0,Survey,DHS,Mali 1987 Demographic and Health Survey,,,,,
Mali,466,Around 1995,1994,1993-1996,6.72,187,299,296,244,205,91,21,28.8,Survey,DHS,Mali 1995-1996 Demographic and Health Survey,,,,,
Mali,466,..,1999,1998-2001,6.78,185,290,280,260,202,103,35,29.2,Survey,DHS,Mali 2001 Demographic and Health Survey,,,,,
Mali,466,Latest,2005,2003-2006,6.57,188,283,292,255,180,91,25,28.8,Survey,DHS,Mali 2006 Demographic and Health Survey,,,,,
Malta,470,Around 1970,1970,,2.02,13,102,131,88,52,17,1,29.0,Registration,UNSD,,,,,,
